Ancestor?,Scan date,Nr,Name,Nickname,Gender,Level,possibleLevels,CP,HP,Dust cost,Overall appraisal,ATT max?,DEF max?,HP max?,Stats appraisal,min IV%,ØIV%,max IV%,ØATT IV,ØDEF IV,ØHP IV,Unique?,Fast move,Special move,Special move 2,DPS,Box,Custom1,Custom2,Saved,Form,Egg,Lucky
0,9/28/19 9:50:34 PM,58,Growlithe,Ø92Grow♨100A,♂,15.0,15.0,522,83,1900,?,0,0,0,?,91.1,92.2,93.3,13.0,13.5,15.0,0,Ember,Flamethrower,- ,12.1,Favorite,,,1,720,0,1
0,9/28/19 9:50:32 PM,58,Growlithe,91Growl☪♨97C,♂,15.0,15.0,525,81,1900,?,0,0,0,?,91.1,91.1,91.1,15.0,14.0,12.0,1,Bite,Flamethrower,- ,11.9,Favorite,,,1,720,0,1
0,9/28/19 9:50:29 PM,428,Lopunny,Ø17Lopu○♨87A,♂,17.0,17.0,865,90,2200,?,0,0,0,?,11.1,17.3,24.4,2.0,4.4,1.4,0,Pound,Fire Punch,- ,12.2,Favorite,,,1,471,0,1
0,9/28/19 9:50:26 PM,155,Cyndaquil,73Cynda♨100A,♂,28.0,28.0,740,87,4500,?,0,0,0,?,73.3,73.3,73.3,12.0,15.0,6.0,1,Ember,Flamethrower,- ,13.7,Favorite,,,1,154,0,1
0,9/28/19 9:50:21 PM,103,Exeggutor Normal,Ø65Exegg❁85C,♂,32.0,32.0,2549,165,6000,?,0,0,0,?,64.4,65.2,66.7,9.7,13.0,6.7,0,Bullet Seed,Seed Bomb,- ,26.9,Favorite,,,1,394,0,1
0,9/28/19 9:48:57 PM,103,Exeggutor Alolan,#Exeggu64-69,♂,25.0,25.0,2055,150,4000,?,0,0,0,?,64.4,66.7,68.9,10.0,10.3,9.7,0,Bullet Seed,- ,- ,0.0,Default,,,0,395,0,1
0,9/28/19 9:48:28 PM,504,Patrat,Ø20Patr○❁94A,♂,20.0,20.0,357,78,2500,?,0,0,0,?,17.8,19.6,22.2,2.0,3.2,3.6,0,Tackle,Grass Knot,- ,9.2,Eevo,,,1,772,0,1
0,9/28/19 9:47:48 PM,122,Mr. Mime,Ø63Mr. M⛤78C,♀,34.0,34.0,1934,98,7000,?,0,0,0,?,57.8,63.3,73.3,12.5,5.8,10.3,0,Zen Headbutt,Psybeam,- ,20.4,Favorite,,,1,121,0,1
0,9/28/19 9:47:34 PM,379,Registeel,Ø67Reg⚙○100B,,15.0,15.0,999,103,1900,?,0,0,0,?,53.3,67.0,77.8,10.8,8.8,10.5,0,Metal Claw,Hyper Beam,- ,11.8,Default,,,1,378,0,1
0,9/28/19 9:46:38 PM,103,Exeggutor Alolan,Ø79Exegg❁86C,♂,30.0,30.0,2515,166,5000,?,0,0,0,?,77.8,79.3,80.0,13.3,11.0,11.3,0,Bullet Seed,Seed Bomb,- ,26.6,Favorite,,,1,395,0,1
0,9/28/19 9:46:33 PM,103,Exeggutor Normal,87Exegg⛤❁91A,♂,30.0,30.0,2536,166,5000,?,0,0,0,?,86.7,86.7,86.7,12.0,15.0,12.0,1,Extrasensory,Seed Bomb,- ,28.8,Favorite,,,1,394,0,1
0,9/28/19 9:46:30 PM,453,Croagunk,Ø86Croa☠夫73D,♀,9.0,9.0,237,57,1000,?,0,0,0,?,84.4,86.1,86.7,14.5,14.0,10.3,0,Poison Sting,Low Sweep,- ,6.7,Eevo,,,1,496,0,1
0,9/28/19 9:46:27 PM,74,Geodude Alolan,Ø89Geodu♜86B,♀,13.0,13.0,470,64,1600,?,0,0,0,?,86.7,88.9,91.1,14.0,12.5,13.5,0,Rock Throw,Rock Tomb,- ,10.1,Favorite,,,1,419,0,1
0,9/28/19 9:46:21 PM,122,Mr. Mime,Ø84Mr. ⛤✞93A,♀,26.0,26.0,1618,89,4000,?,0,0,0,?,82.2,84.4,86.7,14.5,12.0,11.5,0,Confusion,Shadow Ball,- ,22.3,Favorite,,,1,121,0,1
0,9/28/19 9:46:17 PM,233,Porygon2,Ø76Por↯○100C,,20.0,20.0,1498,125,2500,?,0,0,0,?,71.1,75.6,80.0,12.5,9.5,12.0,0,Charge Beam,Hyper Beam,- ,17.7,Favorite,,,1,232,0,1
0,9/28/19 9:46:12 PM,66,Machop,Ø83Macho夫89A,♂,23.0,23.0,811,117,3500,?,0,0,0,?,82.2,83.0,84.4,13.0,12.7,11.7,0,Rock Smash,Low Sweep,- ,13.3,Favorite,,,1,65,0,1
0,9/28/19 9:46:08 PM,210,Granbull,Ø90Gran☪♡98C,♀,12.0,12.0,861,102,1300,?,0,0,0,?,88.9,90.4,91.1,13.3,13.0,14.3,0,Snarl,Play Rough,- ,17.8,Favorite,,,1,209,0,1
0,9/28/19 9:46:04 PM,315,Roselia,Ø90Rose❁♡86B,♀,16.0,16.0,840,80,1900,?,0,0,0,?,88.9,90.0,91.1,14.0,13.0,13.5,0,Razor Leaf,Dazzling Gleam,- ,16.0,Favorite,,,1,314,0,1
0,9/28/19 9:45:59 PM,425,Drifloon,Ø63Drifl✞77B,♂,35.0,35.0,1029,164,8000,?,0,0,0,?,62.2,63.3,64.4,12.5,7.0,9.0,0,Hex,Ominous Wind,- ,14.1,Favorite,,,1,468,0,1
0,9/28/19 9:45:55 PM,315,Roselia,Ø63Rose☠100B,♀,30.0,30.0,1500,106,5000,?,0,0,0,?,57.8,63.0,66.7,9.5,10.3,8.5,0,Poison Jab,Sludge Bomb,- ,24.8,Eevo,,,1,314,0,1
